City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
62,yangiobod,41.1192,70.0941,0.4300000000000068,54,100,3.49,UZ,2024-02-06
63,petropavlovsk-kamchatsky,53.0452,158.6483,-9.669999999999959,84,75,3.0,RU,2024-02-06
64,vernon,50.2581,-119.2691,2.390000000000043,93,100,0.0,CA,2024-02-06
65,hawaiian paradise park,19.5933,-154.9731,19.460000000000036,94,100,4.12,US,2024-02-06
66,shar,49.5886,81.0453,-10.609999999999957,83,79,5.79,KZ,2024-02-06
67,sake,-1.5736,29.045,17.730000000000018,92,82,0.8,CD,2024-02-06
68,salahonda,2.1019,-78.7217,27.28000000000003,79,92,2.41,CO,2024-02-06
69,uturoa,-16.7333,-151.4333,27.700000000000045,86,100,8.28,PF,2024-02-06
70,road town,18.4167,-64.6167,28.05000000000001,83,40,5.66,VG,2024-02-06
71,lebu,-37.6167,-73.65,20.100000000000023,81,78,3.56,CL,2024-02-06
72,macapa,0.0389,-51.0664,27.99000000000001,69,40,3.6,BR,2024-02-06
73,college,64.8569,-147.8028,-16.71999999999997,78,75,2.06,US,2024-02-06
74,constantia,44.1833,28.65,11.5,60,29,5.6,RO,2024-02-06
75,choyr,46.3611,108.3611,-21.93999999999997,98,40,1.77,MN,2024-02-06
76,chonchi,-42.6128,-73.8092,16.29000000000002,87,100,3.13,CL,2024-02-06
77,aldinga beach,-35.2793,138.4604,15.810000000000002,75,0,4.84,AU,2024-02-06
78,longyearbyen,78.2186,15.6401,-9.089999999999975,62,75,8.23,SJ,2024-02-06
79,happy valley-goose bay,53.3168,-60.3315,-8.829999999999984,53,20,2.06,CA,2024-02-06
80,island harbour,50.724,-1.2758,13.04000000000002,90,100,7.6,GB,2024-02-06
81,vorgashor,67.5833,63.95,-17.120000000000005,96,100,3.16,RU,2024-02-06
82,anadyr,64.75,177.4833,-24.71999999999997,84,75,5.0,RU,2024-02-06
83,tromso,69.6496,18.957,-6.989999999999952,86,100,5.66,NO,2024-02-06
84,kalmunai,7.4167,81.8167,24.560000000000002,78,24,3.24,LK,2024-02-06
85,westport,41.1415,-73.3579,5.810000000000002,48,0,5.14,US,2024-02-06
86,beaufort west,-32.3567,22.583,31.25,19,56,8.55,ZA,2024-02-06
87,port mathurin,-19.6833,63.4167,27.05000000000001,74,20,6.17,MU,2024-02-06
88,la ronge,55.1001,-105.2842,-17.859999999999985,65,75,5.14,CA,2024-02-06
89,mosjoen,65.836,13.1908,-6.939999999999998,92,20,1.03,NO,2024-02-06
90,bonthe,7.5264,-12.505,28.939999999999998,70,0,5.74,SL,2024-02-06
91,west island,-12.1568,96.8225,26.99000000000001,83,40,3.09,CC,2024-02-06
92,stanley,54.868,-1.6985,4.8799999999999955,74,20,5.14,GB,2024-02-06
93,geraldton,-28.7667,114.6,17.230000000000018,67,38,3.09,AU,2024-02-06
94,trairi,-3.2778,-39.2689,31.32000000000005,60,74,6.67,BR,2024-02-06
95,el granada,37.5027,-122.4694,13.010000000000048,84,100,0.45,US,2024-02-06
96,suva,-18.1416,178.4415,26.710000000000036,83,75,4.12,FJ,2024-02-06
97,sao tome,0.3365,6.7273,28.090000000000032,75,94,1.53,ST,2024-02-06
98,lompoc,34.6391,-120.4579,13.770000000000039,67,0,2.06,US,2024-02-06
99,bontang,0.1333,117.5,25.83000000000004,88,97,3.19,ID,2024-02-06
100,coyhaique,-45.5752,-72.0662,19.970000000000027,49,100,1.54,CL,2024-02-06
101,breves,-1.6822,-50.4803,33.44,47,48,2.97,BR,2024-02-06
102,howrah,22.5892,88.3103,22.0,88,75,0.0,IN,2024-02-06
103,al burayqah,30.4062,19.5739,17.090000000000032,68,0,2.94,LY,2024-02-06
104,montmagny,48.9734,2.3469,12.200000000000045,87,100,6.69,FR,2024-02-06
105,vila franca do campo,37.7167,-25.4333,18.27000000000004,99,100,7.87,PT,2024-02-06
106,tamanrasset,22.785,5.5228,15.950000000000045,14,0,2.06,DZ,2024-02-06
107,saipan,15.1355,145.701,24.390000000000043,73,20,3.09,MP,2024-02-06
108,konongo,6.6167,-1.2167,31.390000000000043,20,3,1.52,GH,2024-02-06
109,papatowai,-46.5619,169.4708,11.550000000000011,95,100,3.57,NZ,2024-02-06
110,tommot,58.9564,126.2925,-11.539999999999964,97,100,1.82,RU,2024-02-06
111,wanning,18.8003,110.3967,21.060000000000002,99,37,1.14,CN,2024-02-06
112,ushuaia,-54.8,-68.3,17.810000000000002,42,0,2.57,AR,2024-02-06
113,haiku-pauwela,20.9219,-156.3051,21.689999999999998,71,0,4.47,US,2024-02-06
114,nova vicosa,-17.8919,-39.3719,29.78000000000003,62,59,5.49,BR,2024-02-06
115,sao luiz gonzaga,-28.4083,-54.9608,34.84000000000003,37,94,2.79,BR,2024-02-06
116,iskateley,67.6803,53.1512,-31.099999999999966,100,64,1.34,RU,2024-02-06
117,naze,28.3667,129.4833,13.510000000000048,79,100,3.8,JP,2024-02-06
118,ola,59.5833,151.2833,-24.609999999999985,76,96,3.4,RU,2024-02-06
119,ferkessedougou,9.6,-5.2,33.910000000000025,11,6,2.6,CI,2024-02-06
120,hagere maryam,5.6333,38.2333,19.49000000000001,33,72,2.18,ET,2024-02-06
121,laguna,38.421,-121.4238,12.270000000000039,92,100,3.6,US,2024-02-06
122,avarua,-21.2078,-159.775,29.03000000000003,79,75,3.6,CK,2024-02-06
123,wailua homesteads,22.0669,-159.378,22.439999999999998,73,100,8.75,US,2024-02-06
